"date","aapl","amzn","fb","goog","ibm","msft","nflx","zm"
"1962-01-02",,,,,7.291268,,,
"1962-01-03",,,,,7.355003,,,
"1962-01-04",,,,,7.281708,,,
"1962-01-05",,,,,7.138305,,,
"1962-01-08",,,,,7.004461,,,
"1962-01-09",,,,,7.087317,,,
"1962-01-10",,,,,7.100064,,,
"1962-01-11",,,,,7.176546,,,
"1962-01-12",,,,,7.189293,,,
"1962-01-15",,,,,7.22116,,,
"1962-01-16",,,,,7.144678,,,
"1962-01-17",,,,,7.029955,,,
"1962-01-18",,,,,7.049076,,,
"1962-01-19",,,,,7.055449,,,
"1962-01-22",,,,,7.042702,,,
"1962-01-23",,,,,6.972594,,,
"1962-01-24",,,,,7.010835,,,
"1962-01-25",,,,,6.934353,,,
"1962-01-26",,,,,6.899299,,,
"1962-01-29",,,,,6.781389,,,
"1962-01-30",,,,,6.695347,,,
"1962-01-31",,,,,6.908859,,,
"1962-02-01",,,,,7.068196,,,
"1962-02-02",,,,,7.112811,,,
"1962-02-05",,,,,7.023582,,,
"1962-02-06",,,,,7.029955,,,
"1962-02-07",,,,,7.036329,,,
"1962-02-08",,,,,7.042702,,,
"1962-02-09",,,,,7.09369,,,
"1962-02-12",,,,,7.100064,,,
"1962-02-13",,,,,6.985341,,,
"1962-02-14",,,,,6.972594,,,
"1962-02-15",,,,,6.9471,,,
"1962-02-16",,,,,6.940727,,,
"1962-02-19",,,,,6.870618,,,
"1962-02-20",,,,,6.873805,,,
"1962-02-21",,,,,6.822817,,,
"1962-02-23",,,,,6.845124,,,
"1962-02-26",,,,,6.81963,,,
"1962-02-27",,,,,6.832377,,,
"1962-02-28",,,,,6.845124,,,
"1962-03-01",,,,,6.92798,,,
"1962-03-02",,,,,6.985341,,,
"1962-03-05",,,,,6.959847,,,
"1962-03-06",,,,,6.966221,,,
"1962-03-07",,,,,6.988528,,,
"1962-03-08",,,,,7.004461,,,
"1962-03-09",,,,,7.049076,,,
"1962-03-12",,,,,7.042702,,,
"1962-03-13",,,,,7.036329,,,
"1962-03-14",,,,,7.023582,,,
"1962-03-15",,,,,7.010835,,,
"1962-03-16",,,,,7.042702,,,
"1962-03-19",,,,,7.061823,,,
"1962-03-20",,,,,7.017208,,,
"1962-03-21",,,,,7.023582,,,
"1962-03-22",,,,,6.9471,,,
"1962-03-23",,,,,6.972594,,,
"1962-03-26",,,,,6.969407,,,
"1962-03-27",,,,,6.838751,,,
"1962-03-28",,,,,6.876992,,,
"1962-03-29",,,,,6.857871,,,
"1962-03-30",,,,,6.79095,,,
"1962-04-02",,,,,6.698534,,,
"1962-04-03",,,,,6.532823,,,
"1962-04-04",,,,,6.504143,,,
"1962-04-05",,,,,6.641173,,,
"1962-04-06",,,,,6.634799,,,
"1962-04-09",,,,,6.641173,,,
"1962-04-10",,,,,6.666667,,,
"1962-04-11",,,,,6.577438,,,
"1962-04-12",,,,,6.50733,,,
"1962-04-13",,,,,6.602932,,,
"1962-04-16",,,,,6.596558,,,
"1962-04-17",,,,,6.628426,,,
"1962-04-18",,,,,6.615679,,,
"1962-04-19",,,,,6.615679,,,
"1962-04-23",,,,,6.609305,,,
"1962-04-24",,,,,6.602932,,,
"1962-04-25",,,,,6.532823,,,
"1962-04-26",,,,,6.367113,,,
"1962-04-27",,,,,6.188655,,,
"1962-04-30",,,,,5.787126,,,
"1962-05-01",,,,,5.889101,,,
"1962-05-02",,,,,6.022945,,,
"1962-05-03",,,,,6.147228,,,
"1962-05-04",,,,,6.195029,,,
"1962-05-07",,,,,6.057999,,,
"1962-05-08",,,,,5.857234,,,
"1962-05-09",,,,,5.748885,,,
"1962-05-10",,,,,5.774379,,,
"1962-05-11",,,,,5.68515,,,
"1962-05-14",,,,,5.793499,,,
"1962-05-15",,,,,5.761632,,,
"1962-05-16",,,,,5.825366,,,
"1962-05-17",,,,,5.723391,,,
"1962-05-18",,,,,5.755258,,,
"1962-05-21",,,,,5.736138,,,
"1962-05-22",,,,,5.544933,,,
"1962-05-23",,,,,5.29318,,,
"1962-05-24",,,,,5.073295,,,
"1962-05-25",,,,,5.079669,,,
"1962-05-28",,,,,4.601657,,,
"1962-05-29",,,,,4.882091,,,
"1962-05-31",,,,,5.003187,,,
"1962-06-01",,,,,4.907584,,,
"1962-06-04",,,,,4.58891,,,
"1962-06-05",,,,,4.641491,,,
"1962-06-06",,,,,4.659018,,,
"1962-06-07",,,,,4.71638,,,
"1962-06-08",,,,,4.732314,,,
"1962-06-11",,,,,4.576163,,,
"1962-06-12",,,,,4.271829,,,
"1962-06-13",,,,,4.112492,,,
"1962-06-14",,,,,3.900574,,,
"1962-06-15",,,,,4.251115,,,
"1962-06-18",,,,,4.203314,,,
"1962-06-19",,,,,4.282983,,,
"1962-06-20",,,,,4.181007,,,
"1962-06-21",,,,,4.024857,,,
"1962-06-22",,,,,4.079031,,,
"1962-06-25",,,,,4.238368,,,
"1962-06-26",,,,,4.079031,,,
"1962-06-27",,,,,4.244742,,,
"1962-06-28",,,,,4.384959,,,
"1962-06-29",,,,,4.32441,,,
"1962-07-02",,,,,4.46144,,,
"1962-07-03",,,,,4.480561,,,
"1962-07-05",,,,,4.46144,,,
"1962-07-06",,,,,4.397706,,,
"1962-07-09",,,,,4.464627,,,
"1962-07-10",,,,,4.572976,,,
"1962-07-11",,,,,4.772148,,,
"1962-07-12",,,,,4.831103,,,
"1962-07-13",,,,,4.796048,,,
"1962-07-16",,,,,4.875717,,,
"1962-07-17",,,,,4.717973,,,
"1962-07-18",,,,,4.655832,,,
"1962-07-19",,,,,4.684512,,,
"1962-07-20",,,,,4.741874,,,
"1962-07-23",,,,,4.754621,,,
"1962-07-24",,,,,4.630338,,,
"1962-07-25",,,,,4.684512,,,
"1962-07-26",,,,,4.710006,,,
"1962-07-27",,,,,4.791268,,,
"1962-07-30",,,,,4.937859,,,
"1962-07-31",,,,,4.933078,,,
"1962-08-01",,,,,4.796048,,,
"1962-08-02",,,,,4.917145,,,
"1962-08-03",,,,,4.907584,,,
"1962-08-06",,,,,4.84385,,,
"1962-08-07",,,,,4.757808,,,
"1962-08-08",,,,,4.866157,,,
"1962-08-09",,,,,4.799235,,,
"1962-08-10",,,,,4.789675,,,
"1962-08-13",,,,,4.827916,,,
"1962-08-14",,,,,4.920331,,,
"1962-08-15",,,,,4.926705,,,
"1962-08-16",,,,,4.923518,,,
"1962-08-17",,,,,4.964946,,,
"1962-08-20",,,,,5.01912,,,
"1962-08-21",,,,,5.006373,,,
"1962-08-22",,,,,5.213512,,,
"1962-08-23",,,,,5.232632,,,
"1962-08-24",,,,,5.213512,,,
"1962-08-27",,,,,5.200765,,,
"1962-08-28",,,,,5.015934,,,
"1962-08-29",,,,,4.984066,,,
"1962-08-30",,,,,4.942639,,,
"1962-08-31",,,,,5.050988,,,
"1962-09-04",,,,,4.939452,,,
"1962-09-05",,,,,4.882091,,,
"1962-09-06",,,,,4.945825,,,
"1962-09-07",,,,,4.87253,,,
"1962-09-10",,,,,4.898024,,,
"1962-09-11",,,,,4.869344,,,
"1962-09-12",,,,,4.890057,,,
"1962-09-13",,,,,4.888464,,,
"1962-09-14",,,,,4.949012,,,
"1962-09-17",,,,,5.035054,,,
"1962-09-18",,,,,4.996813,,,
"1962-09-19",,,,,4.923518,,,
"1962-09-20",,,,,4.878904,,,
"1962-09-21",,,,,4.802422,,,
"1962-09-24",,,,,4.614404,,,
"1962-09-25",,,,,4.70682,,,
"1962-09-26",,,,,4.531549,,,
"1962-09-27",,,,,4.46144,,,
"1962-09-28",,,,,4.506055,,,
"1962-10-01",,,,,4.338751,,,
"1962-10-02",,,,,4.466221,,,
"1962-10-03",,,,,4.44232,,,
"1962-10-04",,,,,4.560229,,,
"1962-10-05",,,,,4.592097,,,
"1962-10-08",,,,,4.585723,,,
"1962-10-09",,,,,4.668579,,,
"1962-10-10",,,,,4.577757,,,
"1962-10-11",,,,,4.537922,,,
"1962-10-12",,,,,4.528362,,,
"1962-10-15",,,,,4.678139,,,
"1962-10-16",,,,,4.557043,,,
"1962-10-17",,,,,4.608031,,,
"1962-10-18",,,,,4.526769,,,
"1962-10-19",,,,,4.43754,,,
"1962-10-22",,,,,4.372212,,,
"1962-10-23",,,,,4.206501,,,
